Model,RMSE,MAE
XGB_Tweedie,14249.118589963029,2174.841189781149
XGB_Gamma,14249.15609977196,2174.937255496323
XGB_XGB,14250.102593518019,2177.416236026536
Poisson_Tweedie,14251.458725407569,2175.8689664663552
Poisson_Gamma,14251.48509233326,2176.124604063696
NB_Tweedie,14251.492025609292,2175.3261147348253
NB_Gamma,14251.5152919208,2175.5887067249446
NB_XGB,14252.07452336719,2181.043773294333
Poisson_XGB,14252.09278915233,2181.4526401267103
